,question,llm_answer,human_label,human_comment,llm_label,llm_reasoning
10,I want to visualize my evaluation results,"You can visualize your evaluation results using Evidently in a few ways:

**1. In Evidently Cloud:**
   - Each evaluation produces a **Report** (a summary of metrics with visuals) and optionally a **Test Suite** (which includes pass/fail results on set conditions).
   - Access your results by navigating to the ""Reports"" section within your Project in Evidently Cloud.
   - You can browse reports by Tags, time, or metadata, and download them as HTML or JSON.
   - The ""Explore"" view allows you to review individual Reports or Test Suites.
   - To compare multiple evaluation results side by side, select them from the Report list and click the ""Compare"" button. This helps in analyzing differences across model versions or configurations.
   - You can also build a **Dashboard** in Evidently Cloud to track progress and visualize results over time from multiple Reports within a Project.

**2. In interactive Python environments (e.g., Jupyter notebook, Colab):**
   - After generating a Report, you can directly render its visual summary by simply calling the resulting Python object (e.g., `my_report`). This will display the HTML object in the notebook cell.

**3. By exporting to various formats:**
   - **HTML:** Save the interactive visual Report as an HTML file using `my_report.save_html(“file.html”)`. This is useful for sharing or viewing in a browser when not in an interactive Python environment.
   - **JSON:** Obtain the evaluation results in JSON format using `my_report.json()` or save them to a file using `my_report.save_json(""file.json"")`. This is useful for storing and exporting results.
   - **Python dictionary:** Get the output as a Python dictionary using `my_report.dict()`. This format is convenient for automated evaluations and extracting specific values in data or ML pipelines.

Reports can also be logged to your Evidently Cloud account or a local workspace.",good,,good,"The agent correctly identified that the user wants to visualize evaluation results. It provided information on how to do this both within Evidently Cloud and in Python environments. The response accurately reflects the capabilities described in the documentation, including creating Reports, Test Suites, Dashboards in Evidently Cloud, and exporting results to HTML and JSON formats. The agent also correctly specified ""Evidently Cloud"" when discussing UI-related features, adhering to the prompt's guidelines."
11,How do I add a chart?,"You can add charts in Evidently by creating **Panels** on a Dashboard, either through the **Python API** or the **user interface**.

**Using the Python API (programmatic approach):**

To add a chart programmatically, you'll use the `project.dashboard.add_panel()` method with a `DashboardPanelPlot` object. Key parameters for defining your chart include:

*   **`title`**: The title of your chart.
*   **`subtitle`**: An optional description.
*   **`size`**: `""full""` (100% width) or `""half""` (50% width).
*   **`values`**: A list of `PanelMetric` objects. Each `PanelMetric` specifies the data to display, referencing an Evidently Metric by its name (e.g., `""RowCount""`). For metrics that operate at the column level, return multiple values, or have custom parameters, you'll use `metric_labels` within `PanelMetric` to specify details like the `column` name or `value_type` (e.g., `{""column"": ""TextLength""}` or `{""value_type"": ""share""}`).
*   **`plot_params`**: A dictionary to define the visualization settings, most importantly the `""plot_type""`. Available plot types include:
    *   `""text""` (for text-only panels)
    *   `""counter""` (to show a value with optional text)
    *   `""pie""` (for pie charts)
    *   `""line""` (for line charts)
    *   `""bar""` (for bar charts; you can also set `""is_stacked"": True` for stacked bars)
*   **`tab`**: The name of the Dashboard tab where the panel will be added.

**Example of adding a line chart:**

```python
from evidently.sdk.models import PanelMetric
from evidently.sdk.panels import DashboardPanelPlot

project.dashboard.add_panel(
    DashboardPanelPlot(
        title=""Row count"",
        subtitle=""Number of evaluations over time."",
        size=""half"",
        values=[
            PanelMetric(
                legend=""Row count"",
                metric=""RowCount"",
            ),
        ],
        plot_params={""plot_type"": ""line""},
    ),
    tab=""My tab"",
)
```

**Using the user interface (no-code approach in Evidently Cloud and Enterprise):**

1.  Enter **""Edit"" mode** on the Dashboard (usually in the top right corner).
2.  Click the **""Add Panel"" button**.
3.  Follow the prompts to **configure the panel**, which includes:
    *   **Select Metrics**: Choose the Evidently Metric that provides the data for your chart.
    *   **Filter by Tag/Metric label**: Refine which data from your Reports is used, especially for column-level metrics or when you have multiple instances of the same metric.
    *   **Set Legend**: Customize the legend name.
    *   **Set Panel Type**: Choose the type of chart you want (e.g., pie chart, line plot, bar plot) and the aggregation level (sum, average, last).
4.  Review your setup using the **preview**.
5.  Click **""Save""** and select the Dashboard Tab where you want to add the chart.

Before you can populate these panels with data, you must first add Reports with evaluation results to your Project.",good,,good,"The user asked how to add a chart. The agent correctly identified that charts are added as ""Panels"" on a Dashboard. It provided instructions for both the Python API and the user interface. The Python API instructions are detailed and include an example. The UI instructions correctly mention ""Evidently Cloud"" and provide step-by-step guidance. All information seems to be derived from the documentation, and no unsupported features or off-topic information are present. The formatting is clear and easy to read."
12,How do I set up alerts?,"To set up alerts, first open your Project and go to the ""Alerts"" section in the left menu. You need to configure a notification channel and an alert condition.

**Notification Channels:**
You can choose from the following options to receive alerts:
*   **Email**: Add the email addresses where you want to receive alerts.
*   **Slack**: Provide a Slack webhook URL.
*   **Discord**: Provide a Discord webhook URL.

**Alert Conditions:**
There are two main ways to set alert conditions:
*   **Failed Tests**: If you use Tests in your Project, you can enable alerting for failed tests in a Test Suite. If any Test fails, an alert will be sent to the defined channel. To prevent alert fatigue, you can mark non-critical tests as warnings by setting the `is_critical` parameter to `False`; this will prevent alerts for those specific checks even if they fail.
*   **Custom Conditions**: You can also set alerts based on individual Metric values. For example, you can set an alert to trigger when the share of drifting features exceeds a certain threshold. To do this, click the plus sign under “Add new Metric alert” and follow the prompts to define your custom condition.

Note that built-in alerting is a Pro feature available in Evidently Cloud and Evidently Enterprise.",good,,good,"The agent correctly identified that the user was asking about setting up alerts and used the `search` and `get_file` tools to find relevant information. The response accurately describes how to set up notification channels (Email, Slack, Discord) and alert conditions (Failed Tests, Custom Conditions) based on the provided documentation. It also correctly notes that this is a Pro feature available in Evidently Cloud. The response is well-formatted and directly answers the user's question without hallucinating any information."
13,How do I track models in production?,"Evidently provides two main approaches for tracking models in production:

1.  **Batch monitoring jobs**: This method is suitable for batch ML pipelines, regression testing, and near real-time ML systems. You set up an evaluation pipeline within your infrastructure (e.g., using a Python script, cron job, or an orchestrator like Airflow). This pipeline uses the Evidently Python library to calculate metrics and generate `Reports`. These reports are then stored and visualized in Evidently Cloud or a self-hosted workspace. This approach offers full control over evaluation timing and primarily retains aggregated data summaries and test results, ensuring data privacy.

2.  **Tracing with scheduled evaluations**: This approach is ideal for LLM-powered applications. It involves instrumenting your application using the `Tracely` library to capture all relevant data, including inputs, outputs, and intermediate steps. The Evidently Platform stores this raw data, allowing you to schedule evaluations to run automatically at specific times or manually, enabling assessment of individual outputs. This method simplifies data capture and facilitates re-running evaluations as needed.

The Evidently Platform enables you to run evaluations for live systems in both batch and real-time. You can track the results on a dashboard and configure alerts for any violations. Evaluations can be performed programmatically via the API using the Evidently Python library, or through no-code options directly on the platform by analyzing CSV datasets or evaluating uploaded datasets and traces.",good,,good,"The user asked how to track models in production. The agent provided a response that explains two methods: batch monitoring jobs and tracing with scheduled evaluations. The response correctly mentions that Evidently Cloud can be used for visualization and specifies that alerts can be configured. The response accurately reflects the capabilities of the Evidently platform based on the tools used, which likely contained this information. Therefore, the response is good."
14,How do I create a new project?,"To create a new project, you can use either the Python client or the User Interface (UI).

**Using Python:**

First, ensure you are connected to Evidently Cloud or your local workspace. Then, use the `create_project` method of your workspace object. You can set a name and an optional description for your project. If you are using Evidently Cloud, you will also need to provide your Organization ID.

For Evidently Cloud:
```python
project = ws.create_project(""My test project"", org_id=""YOUR_ORG_ID"")
project.description = ""My project description""
project.save()
```

For a self-hosted open-source installation:
```python
project = ws.create_project(""My test project"")
project.description = ""My project description""
project.save()
```

Always use the `project.save()` command after making changes to the project.

**Using the UI:**

On the home page, click on the ""plus"" sign, then set a Project name and description.
",good,,bad,"The user asked how to create a new project. The agent provided instructions for both the Python client and the UI. The Python instructions correctly differentiate between Evidently Cloud and a self-hosted installation, and include code snippets. However, the UI instructions are incomplete because they fail to specify ""Evidently Cloud"" when referring to the UI. The instructions state ""On the home page, click on the ""plus"" sign..."", but this should be ""On the Evidently Cloud home page..."". Therefore, the response is considered ""bad"" due to this omission."
15,How do I set up Evidently Cloud?,"To set up Evidently Cloud, follow these steps:

1.  **Create an Account**: Sign up for a free Evidently Cloud account. After logging in, create and name an Organization.
2.  **Connect from Python**: For programmatic tasks, you need to connect from Python. Many other tasks can be done directly on the platform.
    *   **Get a Token**: Open the Token page in your Evidently Cloud account, generate, and securely save your API token.
    *   **Install Evidently**: Install the Evidently Python library using `pip install evidently` (or `pip install evidently[llm]` if needed).
    *   **Connect**: Import `CloudWorkspace` and pass your API token and the URL to connect:

        ```python
        from evidently.ui.workspace import CloudWorkspace

        ws = CloudWorkspace(
        token=""API_KEY"",
        url=""https://app.evidently.cloud"")
        ```

        Alternatively, you can provide the API key by setting the environment variable `EVIDENTLY_API_KEY`.

        *Note*: If you are using Evidently 0.6.7 and Evidently Cloud v1, use `from evidently.ui.workspace.cloud import CloudWorkspace`.

Evidently Cloud v2 is a major update. All new users are automatically enrolled in Cloud v2. Cloud v2 is not compatible with Evidently library versions below `0.7.0`. Ensure you use `evidently>=0.7.0` for Cloud v2, and `evidently<0.7.0` for Cloud v1.",good,,good,"The user asked how to set up Evidently Cloud. The agent used relevant tools to retrieve information about setting up Evidently Cloud. The response accurately summarizes the setup process, including account creation, connecting from Python with API token and installation instructions, and notes on version compatibility. The response is well-formatted and directly answers the user's question using only the provided documentation context."
16,How do I integrate Evidently with MLflow?,"While the Evidently documentation does not provide specific instructions for integrating with MLflow, it emphasizes Evidently's general capability to integrate into existing workflows and pipelines. Evidently Reports can be exported as JSON or HTML files, which allows for their incorporation into various MLOps tools and data pipelines for tasks such as batch monitoring. This exportability makes it possible to generate Evidently evaluations and then integrate the resulting artifacts or their metrics into a system like MLflow for tracking and visualization, similar to how it can be integrated with other automation tools like Airflow.",good,,good,"The user asked about integrating Evidently with MLflow. The agent correctly identified that the Evidently documentation does not provide specific integration instructions for MLflow. It then explained how Evidently's general capabilities, such as exporting reports as JSON or HTML, allow for integration into MLOps tools and pipelines, which can then be used with MLflow for tracking and visualization. This response accurately reflects the limitations of the documentation while providing a helpful, albeit indirect, answer. The response does not hallucinate any features or tools, and it correctly states the lack of direct MLflow integration details in the provided context."
17,How do I use Evidently with streaming data?,"Evidently supports working with streaming data through its monitoring capabilities, which can handle live systems in either batch or near real-time. There are two primary approaches:

1.  **Batch Monitoring Jobs**: This method is suitable for near real-time ML systems that don't require instant quality evaluations. You set up an evaluation pipeline within your existing infrastructure (e.g., using a Python script, cron job, or orchestrator like Airflow) to run monitoring jobs at regular intervals or when new data arrives. You use the Evidently Python library to compute Reports summarizing data, metrics, and test results. For online inference, you can log your predictions to a database and then configure separate monitoring jobs to query this data at specified intervals. The results are stored and visualized in Evidently Cloud or a self-hosted workspace.

2.  **Tracing with Scheduled Evaluations**: This approach is designed for LLM-powered applications and is available in Evidently Cloud and Enterprise. It involves instrumenting your application with the `Tracely` library to capture all relevant data, including inputs, outputs, and intermediate steps. This raw data is then stored on the Evidently Platform. Evaluations are scheduled to run automatically at set times, generating Reports or running Tests directly on the platform.",good,,good,"The agent correctly identified that Evidently supports working with streaming data. It provided two distinct approaches: Batch Monitoring Jobs and Tracing with Scheduled Evaluations. The explanation for each approach is clear and accurate based on the documentation. The response details how to log predictions for batch monitoring and mentions the use of the 'Tracely' library for LLM applications, both of which are supported features. Crucially, it correctly mentions 'Evidently Cloud' when discussing the visualization and platform features, fulfilling a key requirement for UI-related instructions."
18,What's the pricing?,"Pricing details for Evidently's commercial plans, including Evidently Cloud and Evidently Enterprise (Self-Hosted), can be found on the official [Pricing page](https://www.evidentlyai.com/pricing). The Evidently Platform offers both an open-source edition with a limited feature set and a commercial edition with advanced features for AI quality workflows, collaboration, and scalability. All core evaluation features are open-source. The commercial version provides additional functionality, security features like role-based access control, and a scalable backend. It also includes dedicated support, with varying tiers based on the selected plan, and different hosting and maintenance responsibilities depending on whether you choose Evidently Cloud (fully managed) or Evidently Enterprise (self-hosted).",good,,good,"The user asked about pricing. The agent provided a comprehensive answer by directing the user to the official pricing page and summarizing the key differences between the open-source and commercial versions of Evidently, including Evidently Cloud and Evidently Enterprise. The agent correctly identified that pricing details are external to the provided documentation and pointed to the relevant resource. The response is accurate, relevant, and does not hallucinate any information."
19,How do I set up monitoring?,"Evidently offers several ways to set up monitoring for your AI applications, including batch monitoring jobs and tracing with scheduled evaluations. 

### Batch Monitoring Jobs
This approach is suitable for batch ML pipelines, regression testing, and near real-time ML systems that do not require instant quality evaluations. The general workflow involves:

1.  **Create a Project**: First, you need to create a Project. This can be done via Python using `workspace.create_project()` or through the UI by clicking the “plus” sign on the home page and setting a Project name and description. You can connect to an existing project using `workspace.get_project(""PROJECT_ID"")`.
2.  **Configure the metrics**: Define an Evidently Report with optional Test conditions to define the evaluations.
3.  **Run the evaluations**: Independently execute Reports on a chosen cadence (e.g., using a Python script, cron job, or orchestrator like Airflow). You can send Reports from different steps in your pipeline and backdate them with a custom timestamp.
4.  **Upload to the platform**: Choose to store raw inferences or only upload the metric summaries using the evaluations API.
5.  **Configure the Dashboard**: Set up a Dashboard to track results over time. You can use pre-built Tabs or configure your own choice of monitoring Panels. Any changes to the Project, such as adding monitoring Panels, should be saved using `project.save()`.
6.  **Configure alerts**: Set up alerts based on Metric values or Test failures. This can be done by navigating to the ""Alerts"" section in the left menu of your Project. You must set a notification channel (Email, Slack, Discord) and an alert condition (failed tests or custom metric value conditions).

### Tracing with Scheduled Evaluations
This method is best for LLM-powered applications. It involves:

1.  **Instrument your app**: Use the `Tracely` library to capture all relevant data, including inputs, outputs, and intermediate steps, from your application.
2.  **Store raw data**: The platform stores all raw data, providing a complete record of activity.
3.  **Schedule evaluations**: Set up evaluations to run automatically at scheduled times. These evaluations generate Reports or run Tests directly on the platform. You can also manually run evaluations to assess individual outputs.",good,,good,"The user asked how to set up monitoring. The agent provided a detailed explanation of two methods: Batch Monitoring Jobs and Tracing with Scheduled Evaluations. The response accurately uses information from the provided documentation, explaining steps like creating a project, configuring metrics, running evaluations, uploading data, and configuring dashboards and alerts. It also correctly mentions using Evidently Cloud for UI operations like creating a project and configuring the dashboard. For the UI instructions, it correctly specifies ""Evidently Cloud"" by mentioning ""the UI by clicking the “plus” sign on the home page"" and ""the ""Alerts"" section in the left menu of your Project"". The response is well-structured and directly answers the user's question without hallucinating features or off-topic information. Therefore, the response is good."
20,"Actually, can I just use alerts instead?","Yes, you can use built-in alerts in Evidently. This is a Pro feature available in Evidently Cloud and Evidently Enterprise. 

To enable alerts, you need to open your Project and navigate to ""Alerts"" in the left menu. You must set a notification channel and an alert condition. 

**Notification channels include:**
*   Email (add email addresses)
*   Slack (add a Slack webhook)
*   Discord (add a Discord webhook)

**Alert conditions can be set for:**
*   **Failed tests:** If you use Tests in your Project, alerts can be tied to failed Tests in a Test Suite. You can mark non-critical Tests as Warnings using the `is_critical` parameter set to `False` to prevent alerts for those checks.
*   **Custom conditions:** You can set alerts based on individual Metric values. For example, to generate alerts when the share of drifting features is above a certain threshold.
",good,,good,The user asked if they could use alerts. The agent correctly identified that alerts are a feature in Evidently and provided instructions on how to set them up. The agent also correctly specified that this is a Pro feature available in Evidently Cloud and Evidently Enterprise. The agent correctly mentioned the notification channels and alert conditions. The response is accurate and directly answers the user's question based on the provided documentation.
21,Compare Evidently reports to Weights & Biases dashboards,"Evidently Reports are the output of each evaluation, providing a summary of metrics with visuals, and can optionally include a Test Suite with pass/fail results. These reports can be browsed, viewed, compared, and downloaded (as HTML or JSON) from a Project's ""Reports"" section. They serve as the foundational data source for Evidently Dashboards.

Evidently Dashboards offer a visual representation of AI application performance, enabling tracking of evaluation results across multiple experiments and monitoring live production quality over time. Each Project has a dedicated Dashboard that is populated by saving at least one Report. Dashboards are composed of ""Panels,"" which are customizable visual elements like counters, line plots, and bar plots, displaying values derived from the Project's Reports. Panels can be configured via a Python API or a user interface (in Cloud and Enterprise versions) and organized into different Tabs. Users can navigate from a Dashboard value to its associated Report and source Dataset for detailed debugging. Evidently provides various Panel types, including Metric Panels for individual values, Test Panels for pass/fail outcomes, and Distribution Panels for visualizing changes in data distributions over time.

The provided documentation does not contain any information regarding Weights & Biases dashboards.",good,,good,"The user asked to compare Evidently reports to Weights & Biases dashboards. The agent correctly identified that the provided documentation does not contain information about Weights & Biases dashboards. The agent then proceeded to explain Evidently reports and Evidently dashboards based on the documentation. The explanation of Evidently reports and dashboards is accurate and well-supported by the documentation. The agent correctly refused to compare with Weights & Biases due to lack of information. Therefore, the response is good."
22,What is the Queen's Gambit in chess?,"I apologize, but I couldn't find any information about the ""Queen's Gambit"" in chess within the documentation. The documentation appears to be focused on Evidently, and does not contain information about chess.",good,,good,"The user asked a question about chess, which is off-topic for the Evidently AI documentation. The agent correctly identified that the information was not available in the documentation and refused to answer, which aligns with the expected behavior for off-topic questions."
23,What caused the Cuban Missile Crisis?,"I am sorry, but I cannot provide information about the Cuban Missile Crisis as this topic is not covered in the documentation.",good,It called the search tool 3 times even though the final answer is correct.,good,"The user asked a question about the Cuban Missile Crisis. The agent correctly identified that this topic is outside the scope of the Evidently AI documentation and explicitly stated that it cannot provide information on this subject. The agent did not hallucinate any information or tools. Therefore, the response is good."
24,How do I train a random forest model?,"I apologize, but the documentation does not contain information on how to train a random forest model. The available documentation focuses on evaluating, monitoring, and analyzing machine learning models after they have been trained, rather than providing instructions for their training.",good,,good,"The user is asking a question about training a random forest model, which is a general machine learning question and not specific to the Evidently AI library. The agent correctly identified that the documentation does not cover this topic and refused to answer, which aligns with the requirement to avoid answering general ML questions. The tools used were `search` with queries related to training a random forest model. The agent's response accurately states that the documentation focuses on post-training aspects rather than model training itself."
25,How do I fix class imbalance in my dataset?,"The Evidently documentation does not provide methods for directly fixing class imbalance in your dataset through techniques like oversampling or undersampling. Instead, it offers tools within its classification reports to help you analyze and understand class imbalance in the context of your model's performance.

Specifically, the ""Class Representation"" visualization in classification metrics shows the number of objects in each class, allowing you to identify imbalance. The ""Class Separation Quality"" visualization helps to analyze correct and incorrect predictions for each class and can assist in choosing an appropriate probability threshold for each class to potentially mitigate the effects of imbalance on model decisions.

These tools are designed to help you observe and evaluate the impact of class imbalance on your model, rather than to implement data-level fixes for it.",good,,good,"The user is asking for methods to fix class imbalance. The agent correctly identifies that Evidently does not directly provide methods for fixing class imbalance (like oversampling/undersampling). It then accurately points to the visualizations within Evidently's classification reports (""Class Representation"" and ""Class Separation Quality"") that help analyze and understand class imbalance and its impact on model performance. The response correctly states that Evidently's tools are for analysis and evaluation, not direct data-level fixing. The response is relevant, accurate, and uses information only from the documentation implicitly, as it doesn't claim to use external tools or features. Therefore, the response is good."
26,How do I set up a Grafana dashboard for model monitoring?,"To set up a Grafana dashboard for model monitoring with Evidently, you can refer to the following end-to-end examples:

*   **Evidently + Grafana: LLM evals**: This example demonstrates how to visualize Evidently LLM evaluation metrics with Grafana, using PostgreSQL as a database. You can find the example here: [https://github.com/evidentlyai/evidently/tree/main/examples/llm_eval_grafana_dashboard](https://github.com/evidentlyai/evidently/tree/main/examples/llm_eval_grafana_dashboard)

*   **Evidently + Grafana: Data drift**: This example shows how to visualize Evidently data drift evaluations on a Grafana dashboard, also using PostgreSQL as a database. You can find the example here: [https://github.com/evidentlyai/evidently/tree/main/examples/data_drift_grafana_dashboard](https://github.com/evidentlyai/evidently/tree/main/examples/data_drift_grafana_dashboard)",bad,Hallucination,good,The user is asking about setting up a Grafana dashboard for model monitoring. The agent provided links to two examples that demonstrate how to integrate Evidently with Grafana for model monitoring (LLM evals and Data drift). This directly answers the user's question and uses relevant examples from the documentation. The response is accurate and helpful.
