question,reference_answer,line_number_start,line_number_end,question_type,filename
How do I set up tests to automatically check my data without manually defining conditions?,"There are 3 ways to run conditional checks: Tests Presets, Tests with defaults, and Custom Tests. For automatic conditions, you can use Test Presets which provide a suite of pre-selected Tests with auto-generated conditions, or Tests with defaults where you pick Tests individually, and conditions are auto-generated.",24,28,direct_inquirer,docs/library/tests.mdx
can i create a preset report that includes tests?,Test Presets automatically generate a set of Tests to evaluate your data or AI system. Each Report Preset has this option. Enable it by setting `include_tests=True` on the Report level. (Default: False).,36,38,direct_inquirer,docs/library/tests.mdx
"I'm trying to generate a report with tests, but it's not including them. The documentation mentions `include_tests=True` on the Report level, but where exactly do I put that?",Enable it by setting `include_tests=True` on the Report level. (Default: False).,38,38,frustrated_beginner,docs/library/tests.mdx
How does the system determine the conditions for automatic tests when I don't provide a reference dataset?,"Without reference, Tests use predefined rules. In this case, the missing values Test simply expects 0% missing values. Similarly, classification accuracy Test will compare the performance against a dummy model, etc. Some metrics (like min/max/mean values) don't have default heuristics.",65,71,direct_inquirer,docs/library/tests.mdx
"When I run a report with `include_tests=True`, can I exclude certain tests from running?","To prevent Test generation for certain Metrics/Presets, set the list of `tests` to `None` or leave empty.",95,95,direct_inquirer,docs/library/tests.mdx
I want to make sure my 'Age' column has no missing values and all values are 18 or older. How do I set that up?,"For example, to verify that there are no missing values and no values below 18 in the ""Age"" column:

```Python
report = Report([
    MissingValueCount(column=""Age"", tests=[eq(0)]),
    MinValue(column=""Age"", tests=[gte(18)]),
])
```",115,121,frustrated_beginner,docs/library/tests.mdx
custom test conditions missing value,"For example, to verify that there are no missing values and no values below 18 in the ""Age"" column:

```Python
report = Report([
    MissingValueCount(column=""Age"", tests=[eq(0)]),
    MinValue(column=""Age"", tests=[gte(18)]),
])
```",115,121,hurried_developer,docs/library/tests.mdx
What are the different ways to define conditions for tests?,"For each Metric you want to validate, define a list of `tests` and set expected behavior using parameters like `gt` (greater than), `lt` (less than), `eq` (equal).",113,114,direct_inquirer,docs/library/tests.mdx
I need to check if the number of rows is within 10% of the reference dataset. How can I do this?,"If you pass a reference dataset, you can set conditions relative to the reference values. For example, to Test that the number of rows in the current dataset is equal or greater than the reference number of rows +/- 10%:

```python
from evidently.future.tests import Reference

report = Report([
   RowCount(tests=[gte(Reference(relative=0.1))]),
])
my_eval = report.run(eval_data_1, eval_data_2) # eval_data_2 is reference
```",199,207,context_assumer,docs/library/tests.mdx
"I see I can set up alerts, but it says I need a notification channel and an alert condition. What are my options for notification channels?","You can choose between the following options: Email, Slack, and Discord.",15,21,frustrated_beginner,docs/platform/alerts.mdx
How do I add a new tab to my dashboard using the Python API?,"To add a new Tab, you can use the command `project.dashboard.add_tab(""Another Tab"")`.",15,17,direct_inquirer,docs/platform/dashboard_add_panels.mdx
"I want to delete a tab, what's the command for that?","To delete a Tab, use the command `project.dashboard.delete_tab(""Another Tab"")`.",23,25,frustrated_beginner,docs/platform/dashboard_add_panels.mdx
delete panel python api,"To delete a specific Panel, use the command `project.dashboard.delete_panel(""Dashboard title"", ""My new tab"")`. Remember to list the Panel name first, then the Tab name.",29,33,hurried_developer,docs/platform/dashboard_add_panels.mdx
How do I clear everything on the dashboard?,"To delete all Tabs and Panels on the Dashboard, use the `project.dashboard.clear_dashboard()` command. Note that this action only clears the Panels and does not delete the underlying Reports or dataset.",37,41,direct_inquirer,docs/platform/dashboard_add_panels.mdx
What are the imports needed for adding panels?,You need to import `PanelMetric` from `evidently.sdk.models` and `DashboardPanelPlot` from `evidently.sdk.panels`.,47,50,direct_inquirer,docs/platform/dashboard_add_panels.mdx
"I need to add a text panel, how do I do that?","To add a text-only panel, use `project.dashboard.add_panel()` with a `DashboardPanelPlot` object. Set the `plot_params` to `{""plot_type"": ""text""}` and optionally specify the `tab` where it should be added. If the tab doesn't exist, it will be created.",60,69,frustrated_beginner,docs/platform/dashboard_add_panels.mdx
how to add counters?,"You can add panels for the `RowCount` metric with different aggregations like `sum`, `avg`, or `last` using `DashboardPanelPlot` and specifying the `aggregation` in `plot_params`.",87,122,hurried_developer,docs/platform/dashboard_add_panels.mdx
Can I add pie charts for row count?,"Yes, you can add pie charts for the `RowCount` metric using `DashboardPanelPlot` and setting `""plot_type"": ""pie""` in `plot_params`. You can also specify the aggregation, such as `sum`.",128,137,direct_inquirer,docs/platform/dashboard_add_panels.mdx
How to add a line chart for row count over time?,"To add a line chart for row count over time, use `project.dashboard.add_panel()` with `DashboardPanelPlot`. Set `""plot_type"": ""line""` in `plot_params` and provide the `RowCount` metric in the `values` list.",160,174,direct_inquirer,docs/platform/dashboard_add_panels.mdx
"I'm trying to add a bar chart, but it's stacked when I don't want it to be. How do I make it grouped instead?","To add a grouped bar chart (not stacked), set `""is_stacked"": False` in the `plot_params` when using `DashboardPanelPlot` for a bar chart.",177,191,frustrated_beginner,docs/platform/dashboard_add_panels.mdx
"Can a single panel show multiple lines, like max, mean, and min text length?","Yes, a single panel can show multiple values. You can add multiple `PanelMetric` objects to the `values` list within a `DashboardPanelPlot` to display multiple lines or series on the same chart. For example, to show text length stats, you can add metrics for `MaxValue`, `MeanValue`, and `MinValue` with appropriate legends.",196,208,context_assumer,docs/platform/dashboard_add_panels.mdx
What are the main options for configuring a dashboard panel?,"The main options for configuring a panel include `title` (string), `description` (string), `size` (string, 'full' or 'half'), `values` (list of PanelMetric objects, required), `tab` (string), `create_if_not_exists` (boolean), and `plot_params` (dictionary for visualization settings).",215,224,direct_inquirer,docs/platform/dashboard_add_panels.mdx
What's the deal with metric labels?,"Metric labels are used when metrics require additional context, such as operating at a column level, returning multiple values, or having custom parameters. You use `metric_labels` to specify details like the `column` name or the `value_type` (e.g., 'share', 'count').",261,321,frustrated_beginner,docs/platform/dashboard_add_panels.mdx
How do I organize my panels if I have too many on one dashboard?,"You can add multiple Tabs to organize them. To add a Tab, enter ""Edit"" mode on the Dashboard, click the plus sign with ""add Tab"" on the left, and select ""empty"" to create a custom Tab and enter a name.",9,15,frustrated_beginner,docs/platform/dashboard_add_panels_ui.mdx
pre-built tabs data requirements,"Pre-built Tabs rely on having related Metrics (or Presets that include the specific Metrics) within the Project. If the necessary data is not available, the Panels will appear empty until you add Reports that contain those Metrics.",21,21,hurried_developer,docs/platform/dashboard_add_panels_ui.mdx
"It says I can start with pre-built tabs, how do I add one?","To simplify setup, you can start with pre-built Tabs. These are dashboard templates with preset Panel combinations.",17,17,context_assumer,docs/platform/dashboard_add_panels_ui.mdx
Can I change the plot type and aggregation for a panel?,You can also specify the plot type and aggregation level.,59,59,direct_inquirer,docs/platform/dashboard_add_panels_ui.mdx
"I need to add panels to my dashboard, but I don't have Evident Cloud or Evident Enterprise. How can I do this?",You can add Panels in two ways: Using the Python API – define your Dashboard as code. Through the UI – add Panels directly from the interface (Cloud and Enterprise only).,32,34,frustrated_beginner,docs/platform/dashboard_overview.mdx
python api dashboard panels,You can add Panels in two ways: Using the Python API – define your Dashboard as code. Through the UI – add Panels directly from the interface (Cloud and Enterprise only).,32,34,hurried_developer,docs/platform/dashboard_overview.mdx
How do I add a line chart to my dashboard?,"To add a line chart that shows Row Count in time to the ""Overview"" tab, you can use the following Python code: 
```python
project.dashboard.add_panel(
        DashboardPanelPlot(
            title=""Row count"",
            filter=ReportFilter(metadata_values={}, tag_values=[]),
            values=[
                PanelValue(
                    metric_args={""metric.metric_id"": RowCount().metric_id},
                    field_path=""value"",
                    legend=""count"",
                ),
            ],
            plot_type=PlotType.LINE,
            size=WidgetSize.HALF,
        ),
        tab=""Overview""
    )
project.save()
```",240,260,direct_inquirer,docs/platform/dashboard_panel_types.mdx
I'm trying to add a panel but I keep getting an error. It says something about 'metric.metric_id'. What does that mean?,"To point to the Metric or Test to plot on a Panel, you use `test_filters` or `metric_args`. They must include the name of the Metric that was logged to the Project. You must use the same Metric name (with any applicable parameters) that you used when creating the Report. You can check the Metrics included in each Preset [here](/metrics/all_metrics).",656,659,frustrated_beginner,docs/platform/dashboard_panel_types.mdx
How to add panels python api,"You can add Panels using Python API. Import the necessary modules to configure the Panels as code. Here is the general flow to add a new Panel:
1. Connect to the Project by loading the latest dashboard configuration into your Python environment.
2. Add a new Panel using the `add_panel` method and configure the Panel by picking the Panel type, setting applicable Panel parameters, specifying Panel title and size, adding optional Tags to filter data, defining what the Panel will show, and setting if the Panel should appear on a specific Tab.
3. Save the configuration with `project.save()`.",191,239,hurried_developer,docs/platform/dashboard_panel_types.mdx
I'm trying to upload my data but I can't find the right button. How do I add a dataset using the UI?,You can add Datasets to the platform in multiple ways: Upload directly. Use the UI (Evidently Cloud) to upload CSV files or push datasets via the Python API.,13,15,frustrated_beginner,docs/platform/datasets_overview.mdx
python api upload dataset,You can add Datasets to the platform in multiple ways: Upload directly. Use the UI (Evidently Cloud) to upload CSV files or push datasets via the Python API.,15,15,hurried_developer,docs/platform/datasets_overview.mdx
How do I upload a CSV file to Evidently?,"To upload any existing dataset as a CSV file, click on ""Add dataset"". When you upload the Dataset, you must also add a [**data definition**](/docs/library/data_definition). This lets Evidently understand the role of specific columns and prepare your Dataset for future evaluations.",25,28,frustrated_beginner,docs/platform/datasets_workflow.mdx
python api upload dataset,"Prepare your dataset as an Evidently Dataset with the corresponding data definition. To upload a Dataset to the specified Project in workspace `ws`, use the `add_dataset` method:

    ```python
    eval_data = Dataset.from_pandas(
        source_df,
        data_definition=DataDefinition()
    )
    ws.add_dataset(
        dataset = eval_data, 
        name = ""dataset_name"",
        project_id = project.id, 
        description = ""Optional description"")
    ```

You must always specify the dataset `name` that you will see in the UI. The description is optional.",8,23,hurried_developer,docs/platform/datasets_workflow.mdx
"I'm trying to upload my data but it's not working. I followed the example code, but I can't get it to work.",Raw data upload is available only for Evidently Cloud and Enterprise.,56,57,frustrated_beginner,docs/platform/evals_api.mdx
how to upload raw data and evaluation results,"When you upload a Report, you can decide to:

* include only the resulting Metrics and a summary Report (with distribution summaries, etc.), or

* also upload the raw Dataset you evaluated, together with added Descriptors if any. This helps with row-level debugging and analysis.

Use`include_data` (default `False`) to specify whether to include the data.",59,65,hurried_developer,docs/platform/evals_api.mdx
How do I find all the reports I've generated?,"To access the results of your evaluations, enter your Project and navigate to the ""Reports"" section in the left menu. Here, you can view all your evaluation artifacts and browse them by Tags, time, or metadata.",3,3,frustrated_beginner,docs/platform/evals_explore.mdx
How do I get my data into the system to start evaluating it?,"You can upload a CSV file by going to the ""Dataset"" menu, clicking ""Create new dataset from CSV"", and then dragging and dropping your file. You also need to specify the data definition when you upload it. Alternatively, you can use a Dataset that you have previously uploaded to the platform or one that was collected through Tracing.",7,8,frustrated_beginner,docs/platform/evals_no_code.mdx
upload csv data definition,You must also specify the data definition when you upload it.,7,7,hurried_developer,docs/platform/evals_no_code.mdx
"It says I can use an existing dataset, how?",Select a Dataset you previously uploaded to the platform or one collected through [Tracing](tracing_overview).,8,8,context_assumer,docs/platform/evals_no_code.mdx
Can I use regular expressions to check for specific patterns in my text data?,"You can choose from the following methods: - Model-based: use built-in machine learning models, like sentiment analysis. - Regular expressions: check for specific words or patterns. - Text stats: measure stats like the number of symbols or sentences. - LLM-based: use external LLMs to evaluate your text data.",30,33,direct_inquirer,docs/platform/evals_no_code.mdx
"I need to check my AI model's performance after I update it, what kind of testing is that called?",Regression testing. Ensure the performance does not degrade after updates or fixes.,9,9,frustrated_beginner,docs/platform/evals_overview.mdx
evaluations via api python,Run Python-based evaluations on your AI outputs by generating Reports.,27,27,hurried_developer,docs/platform/evals_overview.mdx
How do I get the dataset statistics for one batch and send it to my workspace?,"To get the dataset stats for a single batch and upload to the workspace, you need to create a Dataset object from your pandas DataFrame, define a Report including DatasetStats, run the report with your dataset, and then add the run to your workspace. You can choose to include or exclude the raw data when adding the run.",13,27,direct_inquirer,docs/platform/monitoring_local_batch.mdx
"I can't figure out how to upload my results, where is the option to store raw inferences or just the summaries?","When uploading to the platform, you have the option to store raw inferences or only upload the metric summaries. You can find more information on how to upload or delete results at the provided link.",46,46,frustrated_beginner,docs/platform/monitoring_local_batch.mdx
What is batch monitoring best for?,"Batch monitoring is best for batch ML pipelines, regression testing, and near real-time ML systems that don’t need instant quality evaluations.",11,11,direct_inquirer,docs/platform/monitoring_overview.mdx
How do I set up monitoring with Evident?,Evidently offers several ways to set up monitoring.,3,3,frustrated_beginner,docs/platform/monitoring_overview.mdx
scheduled evals for LLM apps,Scheduled evals are best for LLM-powered applications.,39,39,hurried_developer,docs/platform/monitoring_overview.mdx
How can I upload my datasets to the platform if I'm working locally?,"While many workflows can be run no-code directly on the platform, you’ll often need programmatic access – for example, to upload datasets or run local experimental evaluations. In these cases, you can use the Evidently Python library to interact with the Evidently Cloud API.",43,44,frustrated_beginner,docs/platform/overview.mdx
python api upload dataset,"While many workflows can be run no-code directly on the platform, you’ll often need programmatic access – for example, to upload datasets or run local experimental evaluations. In these cases, you can use the Evidently Python library to interact with the Evidently Cloud API.",43,44,hurried_developer,docs/platform/overview.mdx
How do I create a new project using Python and set a description for it?,"To create a Project inside a workspace `ws` and Organization with an `org_id`, you can use `project = ws.create_project(""My test project"", org_id=""YOUR_ORG_ID"")`. After creating the project, you can set its description using `project.description = ""My project description""` and then save the changes with `project.save()`.

In a self-hosted open-source installation where you don't need to pass the Org ID, the process is similar: `project = ws.create_project(""My test project"")`, followed by setting the description and saving: `project.description = ""My project description""`, `project.save()`.",11,23,direct_inquirer,docs/platform/projects_manage.mdx
"i cant find the button to add a new project in the ui, where is it?","To create a Project, click on the “plus” sign on the home page, set a Project name and description.",27,27,frustrated_beginner,docs/platform/projects_manage.mdx
connect to existing project python,"To connect to an existing Project from Python, use the `get_project` method.",39,39,hurried_developer,docs/platform/projects_manage.mdx
How do I see all the projects?,"You can see all available Projects on the monitoring homepage, or request a list programmatically. To get a list of all Projects in a workspace `ws`, use `ws.list_projects()`.",57,61,context_assumer,docs/platform/projects_manage.mdx
How do I connect to a project using the Python API?,"Each Project provides a unique ID for connecting via the Python API to send data, edit dashboards, and manage configurations.",15,15,direct_inquirer,docs/platform/projects_overview.mdx
"I'm trying to see how my AI app is running, but I'm not sure how to look at the information. What are the different ways I can view the tracing data?","Evidently provides multiple ways to explore tracing data: Trace view (See a timeline of execution steps with input-output details and latency), Dataset view (Automatically generate a tabular view for easier evaluation or labeling), and Dialogue view (For conversational applications, browse traces by user or session to focus on chat flows).",13,28,frustrated_beginner,docs/platform/tracing_overview.mdx
How do I install the tracely package?,Install the `tracely` package from PyPi using the command: `pip install tracely`,9,11,direct_inquirer,docs/platform/tracing_setup.mdx
"i need to send traces, but it says i need to connect to Evidently Cloud first. where do i do that?",You must first connect to [Evidently Cloud](/docs/setup/cloud) and [create a Project](/docs/platform/projects_manage).,16,17,frustrated_beginner,docs/platform/tracing_setup.mdx
How do I start sending traces? What parameters do I need?,"To start sending traces, use `init_tracing`. You need to provide the `address`, `api_key`, `project_id`, and `export_name`.",19,29,direct_inquirer,docs/platform/tracing_setup.mdx
init_tracing env vars?,"You can set parameters for `init_tracing` using environment variables. The variables are `EVIDENTLY_TRACE_COLLECTOR` for address, `EVIDENTLY_TRACE_COLLECTOR_API_KEY` or `EVIDENTLY_API_KEY` for api_key, `EVIDENTLY_TRACE_COLLECTOR_PROJECT_ID` for project_id, and `EVIDENTLY_TRACE_COLLECTOR_EXPORT_NAME` for export_name.",36,41,hurried_developer,docs/platform/tracing_setup.mdx
How do I get the tracing dataset ID?,"To get the `export_id` of the tracing dataset, run: `from tracely import get_info` then call `get_info()`.",48,53,direct_inquirer,docs/platform/tracing_setup.mdx
